"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 08 11:21:50 UTC 2022","Tue Nov 08 11:22:24 UTC 2022","34810","","Edit Profile: [VS-685] User is able to add/edit ""My Favorite Quote""","","Edit Profile: [VS-685] User is able to add/edit ""My Favorite Quote""","Should go to account.","Should go to account.",""
"passed","Tue Nov 08 12:28:44 UTC 2022","Tue Nov 08 12:28:51 UTC 2022","7866","","Edit Profile: [VS-725] User is able to change ""Children""","","Edit Profile: [VS-725] User is able to change ""Children""","Should go to ""View Profile"" and verify that ""Children"" is changed.","Should go to ""View Profile"" and verify that ""Children"" is changed.",""
"passed","Tue Nov 08 11:09:12 UTC 2022","Tue Nov 08 11:09:19 UTC 2022","6268","","Log In: [VS-652] Log in with phone number: Log in with wrong password","","Log In: [VS-652] Log in with phone number: Log in with wrong password","Should open login page","Should open login page",""
"failed","Tue Nov 08 11:04:54 UTC 2022","Tue Nov 08 11:05:24 UTC 2022","29821","","Log In: [VS-651] Log in with phone number: Log in with an account with ""Active"" status","","Log In: [VS-651] Log in with phone number: Log in with an account with ""Active"" status","Should login with valid cred.","Should login with valid cred.",""
"passed","Tue Nov 08 12:13:03 UTC 2022","Tue Nov 08 12:13:36 UTC 2022","32788","","Edit Profile: [VS-722] User is able to change ""Drinking""","","Edit Profile: [VS-722] User is able to change ""Drinking""","Should go to account.","Should go to account.",""
"passed","Tue Nov 08 11:07:17 UTC 2022","Tue Nov 08 11:07:19 UTC 2022","2021","","Edit Profile: [VS-673] User is able to see profile preview","","Edit Profile: [VS-673] User is able to see profile preview","Should go to ""Edit Profile"" page.","Should go to ""Edit Profile"" page.",""
"passed","Tue Nov 08 12:43:21 UTC 2022","Tue Nov 08 12:43:50 UTC 2022","28214","","Matching Survey: [VS-2509] User is able to fill up ""Matching Survey""","","Matching Survey: [VS-2509] User is able to fill up ""Matching Survey""","Should go to account.","Should go to account.",""
"passed","Tue Nov 08 12:33:43 UTC 2022","Tue Nov 08 12:38:28 UTC 2022","285090","","Matching Survey: [VS-2509] User is able to fill up ""Matching Survey""","","Matching Survey: [VS-2509] User is able to fill up ""Matching Survey""","Should fill ""Matching Survey"" flow","Should fill ""Matching Survey"" flow",""
"passed","Tue Nov 08 11:31:51 UTC 2022","Tue Nov 08 11:32:17 UTC 2022","25752","","Edit Profile: [VS-685] User is able to add/edit ""My Favorite Quote""","","Edit Profile: [VS-685] User is able to add/edit ""My Favorite Quote""","Should go to account.","Should go to account.",""
"passed","Tue Nov 08 11:02:45 UTC 2022","Tue Nov 08 11:03:01 UTC 2022","16721","","Log In: [VS-653] Log in with phone number: Log in with an account with ""Blocked"" status","","Log In: [VS-653] Log in with phone number: Log in with an account with ""Blocked"" status","Should receive alert after login try.","Should receive alert after login try.",""
